id,target_type,target_name,check_type,sql_or_command,expected_result,severity
14,table_or_view,public.admin_broadcasts,rls_update_owner_scope,Heuristic/targeted check on admin_broadcasts: rls_update_owner_scope,rls_update_owner_scope should pass for admin_broadcasts,P0
15,table_or_view,public.admin_broadcasts,rls_delete_owner_scope,Heuristic/targeted check on admin_broadcasts: rls_delete_owner_scope,rls_delete_owner_scope should pass for admin_broadcasts,P1
16,table_or_view,public.admin_broadcasts,rls_admin_bypass_expected,Heuristic/targeted check on admin_broadcasts: rls_admin_bypass_expected,rls_admin_bypass_expected should pass for admin_broadcasts,P1
17,table_or_view,public.admin_broadcasts,rls_recursion_risk_scan,Heuristic/targeted check on admin_broadcasts: rls_recursion_risk_scan,rls_recursion_risk_scan should pass for admin_broadcasts,P0
18,table_or_view,public.admin_broadcasts,api_select_endpoint_ok,GET /rest/v1/admin_broadcasts?select=*&limit=1 with role JWT.,api_select_endpoint_ok should pass for admin_broadcasts,P1
19,table_or_view,public.admin_broadcasts,api_insert_endpoint_ok,POST /rest/v1/admin_broadcasts (sandbox payload) and expect policy-appropriate result.,api_insert_endpoint_ok should pass for admin_broadcasts,P1
20,table_or_view,public.admin_broadcasts,api_update_endpoint_ok,Heuristic/targeted check on admin_broadcasts: api_update_endpoint_ok,api_update_endpoint_ok should pass for admin_broadcasts,P1
21,table_or_view,public.admin_broadcasts,api_delete_endpoint_guarded,Heuristic/targeted check on admin_broadcasts: api_delete_endpoint_guarded,api_delete_endpoint_guarded should pass for admin_broadcasts,P1
22,table_or_view,public.admin_broadcasts,api_payload_shape_validation,Heuristic/targeted check on admin_broadcasts: api_payload_shape_validation,api_payload_shape_validation should pass for admin_broadcasts,P1
23,table_or_view,public.admin_broadcasts,ui_widget_source_mapping,Heuristic/targeted check on admin_broadcasts: ui_widget_source_mapping,ui_widget_source_mapping should pass for admin_broadcasts,P1
24,table_or_view,public.admin_broadcasts,ui_widget_empty_state_sanity,Heuristic/targeted check on admin_broadcasts: ui_widget_empty_state_sanity,ui_widget_empty_state_sanity should pass for admin_broadcasts,P2
25,table_or_view,public.admin_broadcasts,dashboard_role_visibility,Heuristic/targeted check on admin_broadcasts: dashboard_role_visibility,dashboard_role_visibility should pass for admin_broadcasts,P0
26,table_or_view,public.admin_broadcasts,dashboard_cross_role_data_leak,Heuristic/targeted check on admin_broadcasts: dashboard_cross_role_data_leak,dashboard_cross_role_data_leak should pass for admin_broadcasts,P0
27,table_or_view,public.admin_broadcasts,pagination_support,Heuristic/targeted check on admin_broadcasts: pagination_support,pagination_support should pass for admin_broadcasts,P2
28,table_or_view,public.admin_broadcasts,sorting_support,Heuristic/targeted check on admin_broadcasts: sorting_support,sorting_support should pass for admin_broadcasts,P2
29,table_or_view,public.admin_broadcasts,filtering_support,Heuristic/targeted check on admin_broadcasts: filtering_support,filtering_support should pass for admin_broadcasts,P2
30,table_or_view,public.admin_broadcasts,count_query_support,Heuristic/targeted check on admin_broadcasts: count_query_support,count_query_support should pass for admin_broadcasts,P2
31,table_or_view,public.admin_broadcasts,data_freshness_timestamp,Heuristic/targeted check on admin_broadcasts: data_freshness_timestamp,data_freshness_timestamp should pass for admin_broadcasts,P2
32,table_or_view,public.admin_broadcasts,created_at_presence,Heuristic/targeted check on admin_broadcasts: created_at_presence,created_at_presence should pass for admin_broadcasts,P1
33,table_or_view,public.admin_broadcasts,updated_at_presence,Heuristic/targeted check on admin_broadcasts: updated_at_presence,updated_at_presence should pass for admin_broadcasts,P1
34,table_or_view,public.admin_broadcasts,timezone_consistency,Heuristic/targeted check on admin_broadcasts: timezone_consistency,timezone_consistency should pass for admin_broadcasts,P2
35,table_or_view,public.admin_broadcasts,currency_precision_numeric,Heuristic/targeted check on admin_broadcasts: currency_precision_numeric,currency_precision_numeric should pass for admin_broadcasts,P1
36,table_or_view,public.admin_broadcasts,negative_amount_guard,Heuristic/targeted check on admin_broadcasts: negative_amount_guard,negative_amount_guard should pass for admin_broadcasts,P1
37,table_or_view,public.admin_broadcasts,status_enum_validity,Heuristic/targeted check on admin_broadcasts: status_enum_validity,status_enum_validity should pass for admin_broadcasts,P1
38,table_or_view,public.admin_broadcasts,null_rate_critical_fields,Heuristic/targeted check on admin_broadcasts: null_rate_critical_fields,null_rate_critical_fields should pass for admin_broadcasts,P2
39,table_or_view,public.admin_broadcasts,duplicate_business_key_scan,Heuristic/targeted check on admin_broadcasts: duplicate_business_key_scan,duplicate_business_key_scan should pass for admin_broadcasts,P1
40,table_or_view,public.admin_broadcasts,sensitive_data_exposure_scan,Heuristic/targeted check on admin_broadcasts: sensitive_data_exposure_scan,sensitive_data_exposure_scan should pass for admin_broadcasts,P0
41,table_or_view,public.admin_broadcasts,audit_log_coverage,Heuristic/targeted check on admin_broadcasts: audit_log_coverage,audit_log_coverage should pass for admin_broadcasts,P1
42,table_or_view,public.admin_broadcasts,trigger_presence_expected,Heuristic/targeted check on admin_broadcasts: trigger_presence_expected,trigger_presence_expected should pass for admin_broadcasts,P1
43,table_or_view,public.admin_broadcasts,trigger_side_effect_sanity,Heuristic/targeted check on admin_broadcasts: trigger_side_effect_sanity,trigger_side_effect_sanity should pass for admin_broadcasts,P1
44,table_or_view,public.admin_broadcasts,function_dependency_validity,Heuristic/targeted check on admin_broadcasts: function_dependency_validity,function_dependency_validity should pass for admin_broadcasts,P1
45,table_or_view,public.admin_broadcasts,migration_history_alignment,Heuristic/targeted check on admin_broadcasts: migration_history_alignment,migration_history_alignment should pass for admin_broadcasts,P1
46,table_or_view,public.admin_broadcasts,backup_readiness_signal,Heuristic/targeted check on admin_broadcasts: backup_readiness_signal,backup_readiness_signal should pass for admin_broadcasts,P2
47,table_or_view,public.admin_broadcasts,restore_simulation_plan,Heuristic/targeted check on admin_broadcasts: restore_simulation_plan,restore_simulation_plan should pass for admin_broadcasts,P2
48,table_or_view,public.admin_broadcasts,webhook_idempotency_key,Verify unique provider reference index for admin_broadcasts where applicable.,webhook_idempotency_key should pass for admin_broadcasts,P0
49,table_or_view,public.admin_broadcasts,webhook_signature_verification,Heuristic/targeted check on admin_broadcasts: webhook_signature_verification,webhook_signature_verification should pass for admin_broadcasts,P0
50,table_or_view,public.admin_broadcasts,webhook_replay_no_duplicate_effect,Heuristic/targeted check on admin_broadcasts: webhook_replay_no_duplicate_effect,webhook_replay_no_duplicate_effect should pass for admin_broadcasts,P0
51,table_or_view,public.admin_broadcasts,provider_reference_uniqueness,Heuristic/targeted check on admin_broadcasts: provider_reference_uniqueness,provider_reference_uniqueness should pass for admin_broadcasts,P0
52,table_or_view,public.admin_broadcasts,payment_state_machine_validity,Heuristic/targeted check on admin_broadcasts: payment_state_machine_validity,payment_state_machine_validity should pass for admin_broadcasts,P0
53,table_or_view,public.admin_broadcasts,commission_calculation_consistency,Heuristic/targeted check on admin_broadcasts: commission_calculation_consistency,commission_calculation_consistency should pass for admin_broadcasts,P1
54,table_or_view,public.admin_broadcasts,payout_state_machine_validity,Heuristic/targeted check on admin_broadcasts: payout_state_machine_validity,payout_state_machine_validity should pass for admin_broadcasts,P1
55,table_or_view,public.admin_broadcasts,invoice_delivery_pipeline,Heuristic/targeted check on admin_broadcasts: invoice_delivery_pipeline,invoice_delivery_pipeline should pass for admin_broadcasts,P1
56,table_or_view,public.admin_broadcasts,notification_insert_compatibility,Heuristic/targeted check on admin_broadcasts: notification_insert_compatibility,notification_insert_compatibility should pass for admin_broadcasts,P1
57,table_or_view,public.admin_broadcasts,realtime_channel_mapping,Heuristic/targeted check on admin_broadcasts: realtime_channel_mapping,realtime_channel_mapping should pass for admin_broadcasts,P2
58,table_or_view,public.admin_broadcasts,storage_acl_scope,Heuristic/targeted check on admin_broadcasts: storage_acl_scope,storage_acl_scope should pass for admin_broadcasts,P1
59,table_or_view,public.admin_broadcasts,avatar_upload_constraints,Heuristic/targeted check on admin_broadcasts: avatar_upload_constraints,avatar_upload_constraints should pass for admin_broadcasts,P2
60,table_or_view,public.admin_broadcasts,google_avatar_sync,Heuristic/targeted check on admin_broadcasts: google_avatar_sync,google_avatar_sync should pass for admin_broadcasts,P2
61,table_or_view,public.admin_broadcasts,oauth_role_routing,Heuristic/targeted check on admin_broadcasts: oauth_role_routing,oauth_role_routing should pass for admin_broadcasts,P0
62,table_or_view,public.admin_broadcasts,password_login_role_routing,Heuristic/targeted check on admin_broadcasts: password_login_role_routing,password_login_role_routing should pass for admin_broadcasts,P0
63,table_or_view,public.admin_broadcasts,session_expiry_recovery,Heuristic/targeted check on admin_broadcasts: session_expiry_recovery,session_expiry_recovery should pass for admin_broadcasts,P1
64,table_or_view,public.admin_broadcasts,failed_fetch_error_surface,Heuristic/targeted check on admin_broadcasts: failed_fetch_error_surface,failed_fetch_error_surface should pass for admin_broadcasts,P1
65,table_or_view,public.admin_broadcasts,mobile_layout_data_endpoint_stability,Heuristic/targeted check on admin_broadcasts: mobile_layout_data_endpoint_stability,mobile_layout_data_endpoint_stability should pass for admin_broadcasts,P2
66,table_or_view,public.admin_broadcasts,csv_export_source_integrity,Heuristic/targeted check on admin_broadcasts: csv_export_source_integrity,csv_export_source_integrity should pass for admin_broadcasts,P2
67,table_or_view,public.admin_broadcasts,search_query_performance_baseline,Heuristic/targeted check on admin_broadcasts: search_query_performance_baseline,search_query_performance_baseline should pass for admin_broadcasts,P2
68,table_or_view,public.admin_broadcasts,n_plus_one_query_risk,Heuristic/targeted check on admin_broadcasts: n_plus_one_query_risk,n_plus_one_query_risk should pass for admin_broadcasts,P2
69,table_or_view,public.admin_broadcasts,deadlock_risk_heuristic,Heuristic/targeted check on admin_broadcasts: deadlock_risk_heuristic,deadlock_risk_heuristic should pass for admin_broadcasts,P2
70,table_or_view,public.admin_broadcasts,race_condition_risk_heuristic,Heuristic/targeted check on admin_broadcasts: race_condition_risk_heuristic,race_condition_risk_heuristic should pass for admin_broadcasts,P1
71,table_or_view,public.admin_broadcasts,transaction_atomicity_required_paths,Heuristic/targeted check on admin_broadcasts: transaction_atomicity_required_paths,transaction_atomicity_required_paths should pass for admin_broadcasts,P0
72,table_or_view,public.admin_broadcasts,service_role_leak_scan,Heuristic/targeted check on admin_broadcasts: service_role_leak_scan,service_role_leak_scan should pass for admin_broadcasts,P0
73,table_or_view,public.admin_broadcasts,anon_role_capability_boundary,Heuristic/targeted check on admin_broadcasts: anon_role_capability_boundary,anon_role_capability_boundary should pass for admin_broadcasts,P0
74,table_or_view,public.admin_broadcasts,admin_godmode_boundary,Heuristic/targeted check on admin_broadcasts: admin_godmode_boundary,admin_godmode_boundary should pass for admin_broadcasts,P1
75,table_or_view,public.admin_broadcasts,soft_delete_behavior_check,Heuristic/targeted check on admin_broadcasts: soft_delete_behavior_check,soft_delete_behavior_check should pass for admin_broadcasts,P2
76,table_or_view,public.admin_broadcasts,hard_delete_guardrails,Heuristic/targeted check on admin_broadcasts: hard_delete_guardrails,hard_delete_guardrails should pass for admin_broadcasts,P1
77,table_or_view,public.admin_broadcasts,topup_pending_to_success_transition,Heuristic/targeted check on admin_broadcasts: topup_pending_to_success_transition,topup_pending_to_success_transition should pass for admin_broadcasts,P0
78,table_or_view,public.admin_broadcasts,invoice_pending_to_paid_transition,Heuristic/targeted check on admin_broadcasts: invoice_pending_to_paid_transition,invoice_pending_to_paid_transition should pass for admin_broadcasts,P0
79,table_or_view,public.admin_broadcasts,commission_post_payment_trigger,Heuristic/targeted check on admin_broadcasts: commission_post_payment_trigger,commission_post_payment_trigger should pass for admin_broadcasts,P1
80,table_or_view,public.admin_broadcasts,billing_dashboard_reflection,Heuristic/targeted check on admin_broadcasts: billing_dashboard_reflection,billing_dashboard_reflection should pass for admin_broadcasts,P1
81,table_or_view,public.admin_broadcasts,notifications_dashboard_reflection,Heuristic/targeted check on admin_broadcasts: notifications_dashboard_reflection,notifications_dashboard_reflection should pass for admin_broadcasts,P1
82,table_or_view,public.admin_broadcasts,data_persistence_after_refresh,Heuristic/targeted check on admin_broadcasts: data_persistence_after_refresh,data_persistence_after_refresh should pass for admin_broadcasts,P0
83,table_or_view,public.admin_broadcasts,schema_cache_mismatch_scan,Heuristic/targeted check on admin_broadcasts: schema_cache_mismatch_scan,schema_cache_mismatch_scan should pass for admin_broadcasts,P0
84,table_or_view,public.admin_broadcasts,compat_columns_fallback_scan,Heuristic/targeted check on admin_broadcasts: compat_columns_fallback_scan,compat_columns_fallback_scan should pass for admin_broadcasts,P1
85,table_or_view,public.admin_broadcasts,legacy_table_compat_view_check,Heuristic/targeted check on admin_broadcasts: legacy_table_compat_view_check,legacy_table_compat_view_check should pass for admin_broadcasts,P2
86,table_or_view,public.admin_broadcasts,check_constraint_enforcement,Heuristic/targeted check on admin_broadcasts: check_constraint_enforcement,check_constraint_enforcement should pass for admin_broadcasts,P1
87,table_or_view,public.admin_broadcasts,enum_value_drift_scan,Heuristic/targeted check on admin_broadcasts: enum_value_drift_scan,enum_value_drift_scan should pass for admin_broadcasts,P1
88,table_or_view,public.admin_broadcasts,project_assignment_integrity,Heuristic/targeted check on admin_broadcasts: project_assignment_integrity,project_assignment_integrity should pass for admin_broadcasts,P1
89,table_or_view,public.admin_broadcasts,milestone_release_integrity,Heuristic/targeted check on admin_broadcasts: milestone_release_integrity,milestone_release_integrity should pass for admin_broadcasts,P1
90,table_or_view,public.admin_broadcasts,financial_ledger_consistency,Heuristic/targeted check on admin_broadcasts: financial_ledger_consistency,financial_ledger_consistency should pass for admin_broadcasts,P0
91,table_or_view,public.admin_broadcasts,wallet_balance_reconciliation,Heuristic/targeted check on admin_broadcasts: wallet_balance_reconciliation,wallet_balance_reconciliation should pass for admin_broadcasts,P1
92,table_or_view,public.admin_broadcasts,openapi_endpoint_contract,Heuristic/targeted check on admin_broadcasts: openapi_endpoint_contract,openapi_endpoint_contract should pass for admin_broadcasts,P2
93,table_or_view,public.admin_broadcasts,edge_function_auth_mode,Heuristic/targeted check on admin_broadcasts: edge_function_auth_mode,edge_function_auth_mode should pass for admin_broadcasts,P1
94,table_or_view,public.admin_broadcasts,edge_function_cors_mode,Heuristic/targeted check on admin_broadcasts: edge_function_cors_mode,edge_function_cors_mode should pass for admin_broadcasts,P2
95,table_or_view,public.admin_broadcasts,edge_function_error_shape,Heuristic/targeted check on admin_broadcasts: edge_function_error_shape,edge_function_error_shape should pass for admin_broadcasts,P2
96,table_or_view,public.admin_broadcasts,email_provider_sendability,Heuristic/targeted check on admin_broadcasts: email_provider_sendability,email_provider_sendability should pass for admin_broadcasts,P1
97,table_or_view,public.admin_broadcasts,email_provider_domain_verification_required,Heuristic/targeted check on admin_broadcasts: email_provider_domain_verification_required,email_provider_domain_verification_required should pass for admin_broadcasts,P2
98,table_or_view,public.admin_broadcasts,paystack_init_payload_validity,Heuristic/targeted check on admin_broadcasts: paystack_init_payload_validity,paystack_init_payload_validity should pass for admin_broadcasts,P1
99,table_or_view,public.admin_broadcasts,paystack_webhook_payload_validity,Heuristic/targeted check on admin_broadcasts: paystack_webhook_payload_validity,paystack_webhook_payload_validity should pass for admin_broadcasts,P1
100,table_or_view,public.admin_broadcasts,resend_payload_validity,Heuristic/targeted check on admin_broadcasts: resend_payload_validity,resend_payload_validity should pass for admin_broadcasts,P2
101,table_or_view,public.admin_broadcasts,oauth_redirect_url_alignment,Heuristic/targeted check on admin_broadcasts: oauth_redirect_url_alignment,oauth_redirect_url_alignment should pass for admin_broadcasts,P1
102,table_or_view,public.admin_broadcasts,localhost_origin_alignment,Heuristic/targeted check on admin_broadcasts: localhost_origin_alignment,localhost_origin_alignment should pass for admin_broadcasts,P2
103,table_or_view,public.admin_broadcasts,vercel_env_placeholder_compliance,Heuristic/targeted check on admin_broadcasts: vercel_env_placeholder_compliance,vercel_env_placeholder_compliance should pass for admin_broadcasts,P2
104,table_or_view,public.admin_broadcasts,demo_data_absence_check,Heuristic/targeted check on admin_broadcasts: demo_data_absence_check,demo_data_absence_check should pass for admin_broadcasts,P2
105,table_or_view,public.admin_broadcasts,seed_script_safety_check,Heuristic/targeted check on admin_broadcasts: seed_script_safety_check,seed_script_safety_check should pass for admin_broadcasts,P2
106,table_or_view,public.admin_broadcasts,sql_injection_surface_scan,Heuristic/targeted check on admin_broadcasts: sql_injection_surface_scan,sql_injection_surface_scan should pass for admin_broadcasts,P0
107,table_or_view,public.admin_broadcasts,xss_surface_scan,Heuristic/targeted check on admin_broadcasts: xss_surface_scan,xss_surface_scan should pass for admin_broadcasts,P1
108,table_or_view,public.admin_broadcasts,csrf_relevance_assessment,Heuristic/targeted check on admin_broadcasts: csrf_relevance_assessment,csrf_relevance_assessment should pass for admin_broadcasts,P2
109,table_or_view,public.admin_broadcasts,rate_limit_presence,Heuristic/targeted check on admin_broadcasts: rate_limit_presence,rate_limit_presence should pass for admin_broadcasts,P2
110,table_or_view,public.admin_broadcasts,abuse_protection_presence,Heuristic/targeted check on admin_broadcasts: abuse_protection_presence,abuse_protection_presence should pass for admin_broadcasts,P2
111,table_or_view,public.admin_broadcasts,log_noise_vs_signal_check,Heuristic/targeted check on admin_broadcasts: log_noise_vs_signal_check,log_noise_vs_signal_check should pass for admin_broadcasts,P2
112,table_or_view,public.admin_broadcasts,p0_error_log_absence,Heuristic/targeted check on admin_broadcasts: p0_error_log_absence,p0_error_log_absence should pass for admin_broadcasts,P1
113,table_or_view,public.admin_broadcasts,table_growth_risk_signal,Heuristic/targeted check on admin_broadcasts: table_growth_risk_signal,table_growth_risk_signal should pass for admin_broadcasts,P2
114,table_or_view,public.admin_broadcasts,retention_policy_defined,Heuristic/targeted check on admin_broadcasts: retention_policy_defined,retention_policy_defined should pass for admin_broadcasts,P2
115,table_or_view,public.admin_broadcasts,anomaly_detection_signal,Heuristic/targeted check on admin_broadcasts: anomaly_detection_signal,anomaly_detection_signal should pass for admin_broadcasts,P2
116,table_or_view,public.admin_broadcasts,tenant_isolation_signal,Heuristic/targeted check on admin_broadcasts: tenant_isolation_signal,tenant_isolation_signal should pass for admin_broadcasts,P0
117,table_or_view,public.admin_broadcasts,cross_dashboard_data_join_validity,Heuristic/targeted check on admin_broadcasts: cross_dashboard_data_join_validity,cross_dashboard_data_join_validity should pass for admin_broadcasts,P1
118,table_or_view,public.admin_broadcasts,message_thread_integrity,Heuristic/targeted check on admin_broadcasts: message_thread_integrity,message_thread_integrity should pass for admin_broadcasts,P1
119,table_or_view,public.admin_broadcasts,proposal_lifecycle_integrity,Heuristic/targeted check on admin_broadcasts: proposal_lifecycle_integrity,proposal_lifecycle_integrity should pass for admin_broadcasts,P1
120,table_or_view,public.admin_broadcasts,project_status_transition_graph,Heuristic/targeted check on admin_broadcasts: project_status_transition_graph,project_status_transition_graph should pass for admin_broadcasts,P1
121,table_or_view,public.admin_broadcasts,invoice_status_transition_graph,Heuristic/targeted check on admin_broadcasts: invoice_status_transition_graph,invoice_status_transition_graph should pass for admin_broadcasts,P1
122,table_or_view,public.admin_broadcasts,notification_read_unread_transition,Heuristic/targeted check on admin_broadcasts: notification_read_unread_transition,notification_read_unread_transition should pass for admin_broadcasts,P2
123,table_or_view,public.admin_broadcasts,avatar_url_validity_sanity,Heuristic/targeted check on admin_broadcasts: avatar_url_validity_sanity,avatar_url_validity_sanity should pass for admin_broadcasts,P2
124,table_or_view,public.admin_broadcasts,storage_signed_url_policy,Heuristic/targeted check on admin_broadcasts: storage_signed_url_policy,storage_signed_url_policy should pass for admin_broadcasts,P2
125,table_or_view,public.audit_logs,table_exists,SELECT to_regclass('public.audit_logs') IS NOT NULL AS exists;,audit_logs should exist in public schema,P0
126,table_or_view,public.audit_logs,column_contract,CHECK OPENAPI definition for audit_logs has expected required columns and types.,column_contract should pass for audit_logs,P0
127,table_or_view,public.audit_logs,primary_key_presence,Heuristic/targeted check on audit_logs: primary_key_presence,primary_key_presence should pass for audit_logs,P0
128,table_or_view,public.audit_logs,foreign_key_integrity,Run orphan check queries for each FK on audit_logs.,foreign_key_integrity should pass for audit_logs,P0
129,table_or_view,public.audit_logs,orphan_row_check,SELECT * FROM public.audit_logs LIMIT 1; then run LEFT JOIN orphan probes.,orphan_row_check should pass for audit_logs,P1
130,table_or_view,public.audit_logs,index_presence_fk,Verify indexes for FK columns on audit_logs from migration metadata.,index_presence_fk should pass for audit_logs,P1
131,table_or_view,public.audit_logs,index_usage_baseline,Heuristic/targeted check on audit_logs: index_usage_baseline,index_usage_baseline should pass for audit_logs,P2
132,table_or_view,public.audit_logs,unique_constraint_check,Heuristic/targeted check on audit_logs: unique_constraint_check,unique_constraint_check should pass for audit_logs,P1
133,table_or_view,public.audit_logs,not_null_required_fields,Heuristic/targeted check on audit_logs: not_null_required_fields,not_null_required_fields should pass for audit_logs,P1
134,table_or_view,public.audit_logs,default_values_sanity,Heuristic/targeted check on audit_logs: default_values_sanity,default_values_sanity should pass for audit_logs,P2
135,table_or_view,public.audit_logs,rls_enabled,Verify audit_logs has RLS enabled in policy inventory/migrations.,audit_logs should have RLS explicitly configured as intended,P0
136,table_or_view,public.audit_logs,rls_select_owner_scope,Heuristic/targeted check on audit_logs: rls_select_owner_scope,rls_select_owner_scope should pass for audit_logs,P0
137,table_or_view,public.audit_logs,rls_insert_owner_scope,Heuristic/targeted check on audit_logs: rls_insert_owner_scope,rls_insert_owner_scope should pass for audit_logs,P0
138,table_or_view,public.audit_logs,rls_update_owner_scope,Heuristic/targeted check on audit_logs: rls_update_owner_scope,rls_update_owner_scope should pass for audit_logs,P0
139,table_or_view,public.audit_logs,rls_delete_owner_scope,Heuristic/targeted check on audit_logs: rls_delete_owner_scope,rls_delete_owner_scope should pass for audit_logs,P1
140,table_or_view,public.audit_logs,rls_admin_bypass_expected,Heuristic/targeted check on audit_logs: rls_admin_bypass_expected,rls_admin_bypass_expected should pass for audit_logs,P1
141,table_or_view,public.audit_logs,rls_recursion_risk_scan,Heuristic/targeted check on audit_logs: rls_recursion_risk_scan,rls_recursion_risk_scan should pass for audit_logs,P0
142,table_or_view,public.audit_logs,api_select_endpoint_ok,GET /rest/v1/audit_logs?select=*&limit=1 with role JWT.,api_select_endpoint_ok should pass for audit_logs,P1
143,table_or_view,public.audit_logs,api_insert_endpoint_ok,POST /rest/v1/audit_logs (sandbox payload) and expect policy-appropriate result.,api_insert_endpoint_ok should pass for audit_logs,P1
144,table_or_view,public.audit_logs,api_update_endpoint_ok,Heuristic/targeted check on audit_logs: api_update_endpoint_ok,api_update_endpoint_ok should pass for audit_logs,P1
145,table_or_view,public.audit_logs,api_delete_endpoint_guarded,Heuristic/targeted check on audit_logs: api_delete_endpoint_guarded,api_delete_endpoint_guarded should pass for audit_logs,P1
146,table_or_view,public.audit_logs,api_payload_shape_validation,Heuristic/targeted check on audit_logs: api_payload_shape_validation,api_payload_shape_validation should pass for audit_logs,P1
147,table_or_view,public.audit_logs,ui_widget_source_mapping,Heuristic/targeted check on audit_logs: ui_widget_source_mapping,ui_widget_source_mapping should pass for audit_logs,P1
148,table_or_view,public.audit_logs,ui_widget_empty_state_sanity,Heuristic/targeted check on audit_logs: ui_widget_empty_state_sanity,ui_widget_empty_state_sanity should pass for audit_logs,P2
149,table_or_view,public.audit_logs,dashboard_role_visibility,Heuristic/targeted check on audit_logs: dashboard_role_visibility,dashboard_role_visibility should pass for audit_logs,P0
150,table_or_view,public.audit_logs,dashboard_cross_role_data_leak,Heuristic/targeted check on audit_logs: dashboard_cross_role_data_leak,dashboard_cross_role_data_leak should pass for audit_logs,P0
151,table_or_view,public.audit_logs,pagination_support,Heuristic/targeted check on audit_logs: pagination_support,pagination_support should pass for audit_logs,P2
152,table_or_view,public.audit_logs,sorting_support,Heuristic/targeted check on audit_logs: sorting_support,sorting_support should pass for audit_logs,P2
153,table_or_view,public.audit_logs,filtering_support,Heuristic/targeted check on audit_logs: filtering_support,filtering_support should pass for audit_logs,P2
154,table_or_view,public.audit_logs,count_query_support,Heuristic/targeted check on audit_logs: count_query_support,count_query_support should pass for audit_logs,P2
155,table_or_view,public.audit_logs,data_freshness_timestamp,Heuristic/targeted check on audit_logs: data_freshness_timestamp,data_freshness_timestamp should pass for audit_logs,P2
156,table_or_view,public.audit_logs,created_at_presence,Heuristic/targeted check on audit_logs: created_at_presence,created_at_presence should pass for audit_logs,P1
157,table_or_view,public.audit_logs,updated_at_presence,Heuristic/targeted check on audit_logs: updated_at_presence,updated_at_presence should pass for audit_logs,P1
158,table_or_view,public.audit_logs,timezone_consistency,Heuristic/targeted check on audit_logs: timezone_consistency,timezone_consistency should pass for audit_logs,P2
159,table_or_view,public.audit_logs,currency_precision_numeric,Heuristic/targeted check on audit_logs: currency_precision_numeric,currency_precision_numeric should pass for audit_logs,P1
160,table_or_view,public.audit_logs,negative_amount_guard,Heuristic/targeted check on audit_logs: negative_amount_guard,negative_amount_guard should pass for audit_logs,P1
161,table_or_view,public.audit_logs,status_enum_validity,Heuristic/targeted check on audit_logs: status_enum_validity,status_enum_validity should pass for audit_logs,P1
162,table_or_view,public.audit_logs,null_rate_critical_fields,Heuristic/targeted check on audit_logs: null_rate_critical_fields,null_rate_critical_fields should pass for audit_logs,P2
163,table_or_view,public.audit_logs,duplicate_business_key_scan,Heuristic/targeted check on audit_logs: duplicate_business_key_scan,duplicate_business_key_scan should pass for audit_logs,P1
164,table_or_view,public.audit_logs,sensitive_data_exposure_scan,Heuristic/targeted check on audit_logs: sensitive_data_exposure_scan,sensitive_data_exposure_scan should pass for audit_logs,P0
165,table_or_view,public.audit_logs,audit_log_coverage,Heuristic/targeted check on audit_logs: audit_log_coverage,audit_log_coverage should pass for audit_logs,P1
