id,target_type,target_name,check_type,severity,status,details,evidence
25,table_or_view,public.admin_broadcasts,dashboard_role_visibility,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
26,table_or_view,public.admin_broadcasts,dashboard_cross_role_data_leak,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
27,table_or_view,public.admin_broadcasts,pagination_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
28,table_or_view,public.admin_broadcasts,sorting_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
29,table_or_view,public.admin_broadcasts,filtering_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
30,table_or_view,public.admin_broadcasts,count_query_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
31,table_or_view,public.admin_broadcasts,data_freshness_timestamp,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
32,table_or_view,public.admin_broadcasts,created_at_presence,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
33,table_or_view,public.admin_broadcasts,updated_at_presence,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
34,table_or_view,public.admin_broadcasts,timezone_consistency,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
35,table_or_view,public.admin_broadcasts,currency_precision_numeric,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
36,table_or_view,public.admin_broadcasts,negative_amount_guard,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
37,table_or_view,public.admin_broadcasts,status_enum_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
38,table_or_view,public.admin_broadcasts,null_rate_critical_fields,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
39,table_or_view,public.admin_broadcasts,duplicate_business_key_scan,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
40,table_or_view,public.admin_broadcasts,sensitive_data_exposure_scan,P0,FAIL,Potential secrets detected in 8 file-pattern hits,.env:paystack_live_secret; .env:paystack_live_public; .env:supabase_secret_key; .env:resend_key; .env.local:paystack_live_secret; .env.local:paystack_live_public; .env.local:supabase_secret_key; .env.local:resend_key
41,table_or_view,public.admin_broadcasts,audit_log_coverage,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
42,table_or_view,public.admin_broadcasts,trigger_presence_expected,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
43,table_or_view,public.admin_broadcasts,trigger_side_effect_sanity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
44,table_or_view,public.admin_broadcasts,function_dependency_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
45,table_or_view,public.admin_broadcasts,migration_history_alignment,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
46,table_or_view,public.admin_broadcasts,backup_readiness_signal,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
47,table_or_view,public.admin_broadcasts,restore_simulation_plan,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
48,table_or_view,public.admin_broadcasts,webhook_idempotency_key,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
49,table_or_view,public.admin_broadcasts,webhook_signature_verification,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
50,table_or_view,public.admin_broadcasts,webhook_replay_no_duplicate_effect,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
51,table_or_view,public.admin_broadcasts,provider_reference_uniqueness,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
52,table_or_view,public.admin_broadcasts,payment_state_machine_validity,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
53,table_or_view,public.admin_broadcasts,commission_calculation_consistency,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
54,table_or_view,public.admin_broadcasts,payout_state_machine_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
55,table_or_view,public.admin_broadcasts,invoice_delivery_pipeline,P1,PASS,Invoice->notification pipeline passed,"{""invoice_id"":""5565fb7f-98b1-498b-b6b7-51e2cb60fd5f"",""send_invoice_status"":200,""send_invoice_body"":{""success"":true,""invoice_id"":""5565fb7f-98b1-498b-b6b7-51e2cb60fd5f"",""status"":""sent"",""reference"":""PRQ_f0z9b3jpwvddqk3"",""authorization_url"":""ht"
56,table_or_view,public.admin_broadcasts,notification_insert_compatibility,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
57,table_or_view,public.admin_broadcasts,realtime_channel_mapping,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
58,table_or_view,public.admin_broadcasts,storage_acl_scope,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
59,table_or_view,public.admin_broadcasts,avatar_upload_constraints,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
60,table_or_view,public.admin_broadcasts,google_avatar_sync,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
61,table_or_view,public.admin_broadcasts,oauth_role_routing,P0,PASS,Role login pass count=4,npm run verify:test-logins
62,table_or_view,public.admin_broadcasts,password_login_role_routing,P0,PASS,Role login pass count=4,npm run verify:test-logins
63,table_or_view,public.admin_broadcasts,session_expiry_recovery,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
64,table_or_view,public.admin_broadcasts,failed_fetch_error_surface,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
65,table_or_view,public.admin_broadcasts,mobile_layout_data_endpoint_stability,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
66,table_or_view,public.admin_broadcasts,csv_export_source_integrity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
67,table_or_view,public.admin_broadcasts,search_query_performance_baseline,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
68,table_or_view,public.admin_broadcasts,n_plus_one_query_risk,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
69,table_or_view,public.admin_broadcasts,deadlock_risk_heuristic,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
70,table_or_view,public.admin_broadcasts,race_condition_risk_heuristic,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
71,table_or_view,public.admin_broadcasts,transaction_atomicity_required_paths,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
72,table_or_view,public.admin_broadcasts,service_role_leak_scan,P0,FAIL,Potential secrets detected in 8 file-pattern hits,.env:paystack_live_secret; .env:paystack_live_public; .env:supabase_secret_key; .env:resend_key; .env.local:paystack_live_secret; .env.local:paystack_live_public; .env.local:supabase_secret_key; .env.local:resend_key
73,table_or_view,public.admin_broadcasts,anon_role_capability_boundary,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
74,table_or_view,public.admin_broadcasts,admin_godmode_boundary,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
75,table_or_view,public.admin_broadcasts,soft_delete_behavior_check,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
76,table_or_view,public.admin_broadcasts,hard_delete_guardrails,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
77,table_or_view,public.admin_broadcasts,topup_pending_to_success_transition,P0,PASS,initiate-topup created topup/invoice entry,"{""success"":true,""topup_id"":""f9b61f9d-0d0d-49d7-9c11-ccb8f41daf2b"",""invoice_id"":""f9b61f9d-0d0d-49d7-9c11-ccb8f41daf2b"",""reference"":""topup_f9b61f9d0d0d49d79c11ccb8f41daf2b"",""authorization_url"":""https://checkout.paystack.co"
78,table_or_view,public.admin_broadcasts,invoice_pending_to_paid_transition,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
79,table_or_view,public.admin_broadcasts,commission_post_payment_trigger,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
80,table_or_view,public.admin_broadcasts,billing_dashboard_reflection,P1,PASS,Invoice->notification pipeline passed,"{""invoice_id"":""5565fb7f-98b1-498b-b6b7-51e2cb60fd5f"",""send_invoice_status"":200,""send_invoice_body"":{""success"":true,""invoice_id"":""5565fb7f-98b1-498b-b6b7-51e2cb60fd5f"",""status"":""sent"",""reference"":""PRQ_f0z9b3jpwvddqk3"",""authorization_url"":""ht"
81,table_or_view,public.admin_broadcasts,notifications_dashboard_reflection,P1,PASS,Invoice->notification pipeline passed,"{""invoice_id"":""5565fb7f-98b1-498b-b6b7-51e2cb60fd5f"",""send_invoice_status"":200,""send_invoice_body"":{""success"":true,""invoice_id"":""5565fb7f-98b1-498b-b6b7-51e2cb60fd5f"",""status"":""sent"",""reference"":""PRQ_f0z9b3jpwvddqk3"",""authorization_url"":""ht"
82,table_or_view,public.admin_broadcasts,data_persistence_after_refresh,P0,PASS,Synthetic inserted records remained queryable after re-fetch,invoice read-after-write probe
83,table_or_view,public.admin_broadcasts,schema_cache_mismatch_scan,P0,PASS,profile-write function succeeded (schema compatibility OK),"{""success"":true,""profile"":{""id"":""3961d2b6-eb9e-44f4-a55f-918fd4ba6a84"",""first_name"":""Client"",""last_name"":""User"",""email"":""client@test.com"",""phone"":null,""role"":""client"",""created_at"":""2026-02-24T10:02:54.479159+00:00"",""upda"
84,table_or_view,public.admin_broadcasts,compat_columns_fallback_scan,P1,PASS,profile-write function succeeded (schema compatibility OK),"{""success"":true,""profile"":{""id"":""3961d2b6-eb9e-44f4-a55f-918fd4ba6a84"",""first_name"":""Client"",""last_name"":""User"",""email"":""client@test.com"",""phone"":null,""role"":""client"",""created_at"":""2026-02-24T10:02:54.479159+00:00"",""upda"
85,table_or_view,public.admin_broadcasts,legacy_table_compat_view_check,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
86,table_or_view,public.admin_broadcasts,check_constraint_enforcement,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
87,table_or_view,public.admin_broadcasts,enum_value_drift_scan,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
88,table_or_view,public.admin_broadcasts,project_assignment_integrity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
89,table_or_view,public.admin_broadcasts,milestone_release_integrity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
90,table_or_view,public.admin_broadcasts,financial_ledger_consistency,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
91,table_or_view,public.admin_broadcasts,wallet_balance_reconciliation,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
92,table_or_view,public.admin_broadcasts,openapi_endpoint_contract,P2,PASS,GET status=200,/rest/v1/admin_broadcasts?select=*
93,table_or_view,public.admin_broadcasts,edge_function_auth_mode,P1,PASS,Edge functions probed: 11,OPTIONS probes
94,table_or_view,public.admin_broadcasts,edge_function_cors_mode,P2,PASS,Edge functions probed: 11,OPTIONS probes
95,table_or_view,public.admin_broadcasts,edge_function_error_shape,P2,PASS,Edge functions probed: 11,OPTIONS probes
96,table_or_view,public.admin_broadcasts,email_provider_sendability,P1,PASS,No domain restriction detected in probe,send-invoice probe
97,table_or_view,public.admin_broadcasts,email_provider_domain_verification_required,P2,PASS,No domain restriction detected in probe,send-invoice probe
98,table_or_view,public.admin_broadcasts,paystack_init_payload_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
99,table_or_view,public.admin_broadcasts,paystack_webhook_payload_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
100,table_or_view,public.admin_broadcasts,resend_payload_validity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
101,table_or_view,public.admin_broadcasts,oauth_redirect_url_alignment,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
102,table_or_view,public.admin_broadcasts,localhost_origin_alignment,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
103,table_or_view,public.admin_broadcasts,vercel_env_placeholder_compliance,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
104,table_or_view,public.admin_broadcasts,demo_data_absence_check,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
105,table_or_view,public.admin_broadcasts,seed_script_safety_check,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
106,table_or_view,public.admin_broadcasts,sql_injection_surface_scan,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
107,table_or_view,public.admin_broadcasts,xss_surface_scan,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
108,table_or_view,public.admin_broadcasts,csrf_relevance_assessment,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
109,table_or_view,public.admin_broadcasts,rate_limit_presence,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
110,table_or_view,public.admin_broadcasts,abuse_protection_presence,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
111,table_or_view,public.admin_broadcasts,log_noise_vs_signal_check,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
112,table_or_view,public.admin_broadcasts,p0_error_log_absence,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
113,table_or_view,public.admin_broadcasts,table_growth_risk_signal,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
114,table_or_view,public.admin_broadcasts,retention_policy_defined,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
115,table_or_view,public.admin_broadcasts,anomaly_detection_signal,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
116,table_or_view,public.admin_broadcasts,tenant_isolation_signal,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
117,table_or_view,public.admin_broadcasts,cross_dashboard_data_join_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
118,table_or_view,public.admin_broadcasts,message_thread_integrity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
119,table_or_view,public.admin_broadcasts,proposal_lifecycle_integrity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
120,table_or_view,public.admin_broadcasts,project_status_transition_graph,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
121,table_or_view,public.admin_broadcasts,invoice_status_transition_graph,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
122,table_or_view,public.admin_broadcasts,notification_read_unread_transition,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
123,table_or_view,public.admin_broadcasts,avatar_url_validity_sanity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
124,table_or_view,public.admin_broadcasts,storage_signed_url_policy,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
125,table_or_view,public.audit_logs,table_exists,P0,PASS,Found in inventory,db_inventory.tables_and_views
126,table_or_view,public.audit_logs,column_contract,P0,PASS,7 columns detected,OpenAPI definitions
127,table_or_view,public.audit_logs,primary_key_presence,P0,PASS,Primary key detected,OpenAPI column metadata
128,table_or_view,public.audit_logs,foreign_key_integrity,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
129,table_or_view,public.audit_logs,orphan_row_check,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
130,table_or_view,public.audit_logs,index_presence_fk,P1,WARN,No index entries in migration metadata,migration_derived_metadata.indexes
131,table_or_view,public.audit_logs,index_usage_baseline,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
132,table_or_view,public.audit_logs,unique_constraint_check,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
133,table_or_view,public.audit_logs,not_null_required_fields,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
134,table_or_view,public.audit_logs,default_values_sanity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
135,table_or_view,public.audit_logs,rls_enabled,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
136,table_or_view,public.audit_logs,rls_select_owner_scope,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
137,table_or_view,public.audit_logs,rls_insert_owner_scope,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
138,table_or_view,public.audit_logs,rls_update_owner_scope,P0,PASS,Policies detected in migrations,migration_derived_metadata.policies
139,table_or_view,public.audit_logs,rls_delete_owner_scope,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
140,table_or_view,public.audit_logs,rls_admin_bypass_expected,P1,PASS,Policies detected in migrations,migration_derived_metadata.policies
141,table_or_view,public.audit_logs,rls_recursion_risk_scan,P0,PASS,No direct recursion marker found,migrations scan
142,table_or_view,public.audit_logs,api_select_endpoint_ok,P1,PASS,GET status=200,/rest/v1/audit_logs?select=*
143,table_or_view,public.audit_logs,api_insert_endpoint_ok,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
144,table_or_view,public.audit_logs,api_update_endpoint_ok,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
145,table_or_view,public.audit_logs,api_delete_endpoint_guarded,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
146,table_or_view,public.audit_logs,api_payload_shape_validation,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
147,table_or_view,public.audit_logs,ui_widget_source_mapping,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
148,table_or_view,public.audit_logs,ui_widget_empty_state_sanity,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
149,table_or_view,public.audit_logs,dashboard_role_visibility,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
150,table_or_view,public.audit_logs,dashboard_cross_role_data_leak,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
151,table_or_view,public.audit_logs,pagination_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
152,table_or_view,public.audit_logs,sorting_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
153,table_or_view,public.audit_logs,filtering_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
154,table_or_view,public.audit_logs,count_query_support,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
155,table_or_view,public.audit_logs,data_freshness_timestamp,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
156,table_or_view,public.audit_logs,created_at_presence,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
157,table_or_view,public.audit_logs,updated_at_presence,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
158,table_or_view,public.audit_logs,timezone_consistency,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
159,table_or_view,public.audit_logs,currency_precision_numeric,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
160,table_or_view,public.audit_logs,negative_amount_guard,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
161,table_or_view,public.audit_logs,status_enum_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
162,table_or_view,public.audit_logs,null_rate_critical_fields,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
163,table_or_view,public.audit_logs,duplicate_business_key_scan,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
164,table_or_view,public.audit_logs,sensitive_data_exposure_scan,P0,FAIL,Potential secrets detected in 8 file-pattern hits,.env:paystack_live_secret; .env:paystack_live_public; .env:supabase_secret_key; .env:resend_key; .env.local:paystack_live_secret; .env.local:paystack_live_public; .env.local:supabase_secret_key; .env.local:resend_key
165,table_or_view,public.audit_logs,audit_log_coverage,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
166,table_or_view,public.audit_logs,trigger_presence_expected,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
167,table_or_view,public.audit_logs,trigger_side_effect_sanity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
168,table_or_view,public.audit_logs,function_dependency_validity,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
169,table_or_view,public.audit_logs,migration_history_alignment,P1,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
170,table_or_view,public.audit_logs,backup_readiness_signal,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
171,table_or_view,public.audit_logs,restore_simulation_plan,P2,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
172,table_or_view,public.audit_logs,webhook_idempotency_key,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
173,table_or_view,public.audit_logs,webhook_signature_verification,P0,WARN,Heuristic-only check: requires role-scoped SQL or dedicated e2e harness,phase3to9 automated heuristic
